netuid	miners	with_emission	pct
1	246	2	0.8130
2	249	238	95.5823
3	253	0	0.0000
4	250	5	2.0000
5	242	1	0.4132
6	242	210	86.7769
7	243	0	0.0000
8	236	45	19.0678
9	245	1	0.4082
10	240	0	0.0000
11	243	1	0.4115
12	248	6	2.4194
13	244	182	74.5902
14	244	6	2.4590
15	245	1	0.4082
16	241	9	3.7344
17	249	1	0.4016
18	248	4	1.6129
19	242	0	0.0000
20	247	1	0.4049
21	244	0	0.0000
22	243	239	98.3539
23	243	0	0.0000
24	246	0	0.0000
25	245	0	0.0000
26	243	0	0.0000
27	241	0	0.0000
28	242	1	0.4132
29	246	0	0.0000
30	245	0	0.0000
31	242	0	0.0000
32	247	121	48.9879
33	243	241	99.1770
34	237	53	22.3629
35	243	2	0.8230
36	244	2	0.8197
37	242	3	1.2397
38	241	0	0.0000
39	243	1	0.4115
40	244	1	0.4098
41	243	31	12.7572
42	247	242	97.9757
43	247	1	0.4049
44	245	2	0.8163
45	244	4	1.6393
46	245	168	68.5714
47	11	0	0.0000
48	241	3	1.2448
49	246	1	0.4065
50	243	232	95.4733
51	247	37	14.9798
52	243	0	0.0000
53	242	0	0.0000
54	248	161	64.9194
55	248	0	0.0000
56	242	19	7.8512
57	244	218	89.3443
58	240	0	0.0000
59	243	112	46.0905
60	246	0	0.0000
61	243	37	15.2263
62	242	0	0.0000
63	243	0	0.0000
64	239	29	12.1339
65	244	63	25.8197
66	243	1	0.4115
67	250	0	0.0000
68	57	2	3.5088
69	240	0	0.0000
70	3	0	0.0000
71	246	223	90.6504
72	250	246	98.4000
73	244	6	2.4590
74	242	18	7.4380
75	247	167	67.6113
76	33	0	0.0000
77	239	8	3.3473
78	247	247	100.0000
79	249	235	94.3775
80	180	2	1.1111
81	248	1	0.4032
82	247	246	99.5951
83	245	245	100.0000
84	245	0	0.0000
85	252	100	39.6825
86	246	1	0.4065
87	248	0	0.0000
88	244	154	63.1148
89	241	2	0.8299
90	244	0	0.0000
91	79	0	0.0000
92	243	0	0.0000
93	245	6	2.4490
94	246	1	0.4065
95	243	0	0.0000
96	13	0	0.0000
97	200	0	0.0000
98	245	0	0.0000
99	246	0	0.0000
100	244	56	22.9508
101	243	0	0.0000
102	247	0	0.0000
103	245	244	99.5918
104	37	1	2.7027
105	243	0	0.0000
106	244	0	0.0000
107	54	0	0.0000
108	105	0	0.0000
109	243	0	0.0000
110	241	0	0.0000
111	251	242	96.4143
112	243	0	0.0000
113	110	0	0.0000
114	237	42	17.7215
115	237	0	0.0000
116	242	4	1.6529
117	54	0	0.0000
118	228	76	33.3333
119	245	0	0.0000
120	244	4	1.6393
121	243	0	0.0000
122	246	0	0.0000
123	246	242	98.3740
124	243	0	0.0000
125	244	0	0.0000
126	246	0	0.0000
127	239	3	1.2552
128	244	44	18.0328
